EventID,Proyek,Sumber Lead,Tanggal,Hari Ke,Target Lead Harian,Leads Didapat,Cumulative Leads,Achievement %
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Jumat, 02 Januari 2026",2,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Sabtu, 03 Januari 2026",3,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Minggu, 04 Januari 2026",4,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Senin, 05 Januari 2026",5,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Selasa, 06 Januari 2026",6,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Rabu, 07 Januari 2026",7,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Kamis, 08 Januari 2026",8,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Jumat, 09 Januari 2026",9,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Sabtu, 10 Januari 2026",10,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Minggu, 11 Januari 2026",11,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Senin, 12 Januari 2026",12,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Selasa, 13 Januari 2026",13,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Rabu, 14 Januari 2026",14,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Kamis, 15 Januari 2026",15,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Jumat, 16 Januari 2026",16,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Sabtu, 17 Januari 2026",17,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Minggu, 18 Januari 2026",18,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Senin, 19 Januari 2026",19,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Selasa, 20 Januari 2026",20,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Rabu, 21 Januari 2026",21,,1,1,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Kamis, 22 Januari 2026",22,,0,1,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Jumat, 23 Januari 2026",23,,0,1,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Sabtu, 24 Januari 2026",24,,0,1,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Minggu, 25 Januari 2026",25,,0,1,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Senin, 26 Januari 2026",26,,0,1,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Selasa, 27 Januari 2026",27,,0,1,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Rabu, 28 Januari 2026",28,,0,1,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Kamis, 29 Januari 2026",29,,2,3,
EV-20260101-MLONGG-06,MLONGGO 1,Promo UTJ 250 Ribu,"Jumat, 30 Januari 2026",30,,1,4,
EV-20260101-MLONGG-07,MLONGGO 2,Promo UTJ 250 Ribu,"Jumat, 30 Januari 2026",30,,0,2,
EV-20260101-MLONGG-10,MLONGGO 1,Brosur 2 Muka,"Jumat, 30 Januari 2026",30,,0,0,
EV-20260101-KUWASE-11,KUWASEN,Brosur 2 Muka,"Jumat, 30 Januari 2026",30,,1,4,
EV-20260101-KUWASE-20,KUWASEN,Promo UTJ 250 Ribu,"Jumat, 30 Januari 2026",30,,1,6,
EV-20260101-JERUKS-19,JERUKSAWIT 4,Perpanjang Promo DP 7 Juta All In,"Kamis, 01 Januari 2026",1,,2,2,
